Front;Back;Document
What are critical airway red flags?;AMS with secretions, The inability to speak full sentences, Stridor/silent chest, Recurrent vomiting, Rising C02, Increased work of breathing, Declining mental status.;Airway Management for ATCEMS
What 3 things should you assess when assessing ventilations?;Rate, Rhythm, and Quality;Airway Management for ATCEMS
What is the purpose of an initial airway assessment?;To find and treat immediate life threats;Airway Management for ATCEMS
What is an example of having a mental model for airway intervention?;PACE Framework;Airway Management for ATCEMS
How do we manage a Foreign Body Occlusion in an UNCONSCIOUS patient?;If the patient is unconscious, immediately begin CPR., and check the airway after each CPR rotation. Never blind finger sweep;Airway Management for ATCEMS
How do we manage a Foreign Body Occlusion in a CONSCIOUS Patient?;For adults, begin 5 abdominal chest thrusts. For pediactrics, hold the patient down and provide 5 back blows with the lower palm of your hand, then turn the patient over, and begin 5 downward chest thrusts.;Airway Management for ATCEMS
What is complicated about ventilating a patient with an unsupported head/upper back?;"The airway is sitting at an ""L"" Shape, making ventilations less adequate.";Airway Management for ATCEMS
How should we position the airway to provide adequate ventilation?;"Place padding/Support the patients head/upper back to bring the ear to the sternal notch. This creates a much more ""straight"" path for airflow";Airway Management for ATCEMS
How do we apply suction at ATCEMS?;Using a DuCanto catheter, we suction no more than 10-15 seconds, ventilating between attempts.;Airway Management for ATCEMS
What indicates the use of an OPA?;An unconscious patient without a gag reflex.;Airway Management for ATCEMS
What indicates the use of an NPA?;A semi conscious patient that might have a gag reflex.;Airway Management for ATCEMS
What contraindicates an NPA/OPA?;Facial fractures for NPA, and Mandible/mouth trauma for OPA;Airway Management for ATCEMS
What are some S/S of an impending airway failure?;An increased work of breathing (Retractions, Accessory muscle use), Tripoding, Headbobbing, Change in mental status, Signs of fatigue, Stridor/Gurgling, and Hypoxia/Hypercarbia.;Airway Management for ATCEMS
Why don't we use PEEP in cardiac arrest?;PEEP will increase intrathoracic pressure, putting stress on the vena cava, and increasing preload.;Airway Management for ATCEMS
What is the ATCEMS Gold Standard for securing an adequate BVM seal?;A two handed clamp;Airway Management for ATCEMS
What is the IGel?;A Blind Insertion Airway Device (BIAD) that is sized based off the patients weight. The IGel allows for a suction catheter channel, and isolates the larynx from the pharynx.;Airway Management for ATCEMS
What are some pearls of the IGel?;Using downward pressure to position the device. Always preload the IGel with a G tube, and never use the ET tamer.;Airway Management for ATCEMS
What is the PACE plan?;An airway acronym that plans for a Primary, Alternate, Contingent, and Emergent airway treatment.;Airway Management for ATCEMS
What is EtC02 and the two components that make up EtC02?;EtC02 is the amount of C02 that is expired during expiration. It is composed of ventilation and perfusion.;Airway Management for ATCEMS
An aerobic metabolism produces ATP efficiently with the Prescence of;Oxygen;Airway Management for ATCEMS
An anaerobic metabolism produces little ATP without oxygen, and allows for;Lactic Acid buildup;Airway Management for ATCEMS
C02 will diffuse from the blood into the alveolar space via;Diffusion, from an area with a low concentration to an area with a high concentration;Airway Management for ATCEMS
Anytime an advanced airway is in place, we monitor with an;Entidal;Airway Management for ATCEMS
What can capnography monitor?;Directly and immediately monitors ventilation. Indirectly monitors perfusion and metabolism. Can show patient trends.;Airway Management for ATCEMS
What is the difference between capnometry and capnography?;Capnometry measures a numerical value, while capnography is able to measure real time via a graph, and numerical values.;Airway Management for ATCEMS
What does a bronchospastic waveform look like?;Sharkfins >ˆ;Airway Management for ATCEMS
What are S/S of breathstacking?;An incomplete exhalation phase, a rising capnography baseline, Increased intrathoracic pressure, Increased risk of barotrauma.;Airway Management for ATCEMS
What pneumonic can we use to troubleshoot our airway intervention?;DOPE Displacement (Recheck tube placement) Obstruction (Suction error?) Pneumothorax (Auscultate lungs) Equipment (Is my equipment accurately placed/functional?);Airway Management for ATCEMS
What is a normal EtC02 value?;35-45 mmHg;Airway Management for ATCEMS
What is a hypercapnic EtC02 reading?;45+ mmHg;Airway Management for ATCEMS
What is a hypocapnic EtC02 reading?;<35 mmHg;Airway Management for ATCEMS
What can a spike in EtC02 indicate during CPR?;ROSC;Airway Management for ATCEMS
Mental status is closely related to...;Airway Status;Airway Management for ATCEMS
Upper airway concerns often originate from...;Patency;Airway Management for ATCEMS
Lower airway concerns often originate from...;Ventilation/oxygenation problems;Airway Management for ATCEMS
What separates the upper and lower airway?;The larynx;Airway Management for ATCEMS
