Front;Back;Document
12 lead criteria:;Any patient over 30 with S/S of pain between navel and jaw, chest pain/cardiac complaints, palipitations, S/S of ACS.;ACS
Do electrical injures, syncope events, and severe weakness qualify a rapid 12 lead?:;yes;ACS
Does a patient with a previous or family history of cardiac issues require a 12 lead?:;Yes;ACS
Do we place rapid 12 leads for patients with onset stroke symptoms and signs of an overdose?:;correct =M;ACS
How many minutes after patient contact should we apply a rapid 12 lead?:;5 mins;ACS
What medication is indicated for suspected ACS?:;324mg chewed aspirin;ACS
What is our target Sp02 for suspected ACS?:;92-96%;ACS
When do we administer NTG in suspected ACS patients?:;SBP e 180 mmHg and/or DBP e110mmHg AFTER Fentanyl administration;ACS
What is preload?:;volume of blood in the ventricles after diastole;ACS
What is afterload?:;the pressure the left ventricle must overcome to eject blood during systole;ACS
What is a total coronary occlusion?:;STEMI;ACS
STEMI's account for:;50-70% of heart attacks;ACS
What is our scene time for STEMI alerts?:;less than 15 minutes;ACS
