Front;Back;Document
What makes up the upper airway?;The larynx and up;Respiratory
What makes up the lower airway?;The pharynx and below;Respiratory
What is surfactant?;a substance in the alveoli that reduces surface tension, makes gas exchange easier, and prevents atelectasis.;Respiratory
What is our primary respiratory center?;Medulla Oblongata;Respiratory
Where are chemoreceptors, and what do they detect?;Primary chemoreceptors in the medulla oblongata, primarily triggered by H+;Respiratory
What is diffusion?;Movement of a solute from a high to a low concentration.;Respiratory
Where is the phrenic nerve?;C3-C5;Respiratory
Describe Inhalation?;An active process where the diaphragm contracts expanding the chest cavity. Negative pressure will force the air to rush in.;Respiratory
What is the primary trigger for respiration?;Increased CO2, Increased H+, decreased Ph.;Respiratory
Describe exhalation?;A passive process where the muscles relax and recoil air out of the lungs. Positive pressure forces air out of the chest cavity.;Respiratory
What core muscles are activated during inspiration?;Diaphragm, external intercostals;Respiratory
What core muscles are activated during expiration?;Diaphragm, internal intercostals;Respiratory
What accessory muscles are activated during inspiration?;Sternocleidomastoid, Pectoralis Major;Respiratory
What accessory muscles are activated during expiration?;Abdominal muscles, quadratus lumborum;Respiratory
What is paradoxical breathing?;abnormal breathing where the chest and abdomen move in opposite directions. When the diaphragm is weakened, the abdomen will move inward during inspiration, and outward during expiration;Respiratory
Ventilation is mainly affected by?;Tidal volume and rate;Respiratory
Oxygenation is mainly affected by?;FiO2 and PEEP;Respiratory
What is tidal volume?;Amount of air in each breath;Respiratory
What is minute volume?;Tidal volume x RR. the total amount of air inhaled or exhaled from a person's lungs in one minute;Respiratory
Dead Space?;volume of inhaled air that does not participate in gas exchange;Respiratory
Residual Volume?;Remaining air after max exhalation;Respiratory
V/Q mismatch?;A mismatch between Ventilation and Perfusion. (Adequate ventilation, poor perfusion) (PE);Respiratory
What is the best indicator of declining respiratory status?;Mental Status;Respiratory
What does rhonchi often represent?;thick obstructions/secretions;Respiratory
What do rales/crackles often represent?;Fluid/secretions in airway;Respiratory
What 3 things make up asthma?;Bronchospasm, Bronchoedema, and Bronchorrhea. Smooth muscle constriction, inflammation, and hypersecretion of mucus via goblet cells.;Respiratory
What can we use to treat asthma?;O2, CPAP, Bronchodilation, Ipratropium, and nebulized epi.;Respiratory
How long does albuterol last compares to epi when nebulized?;Albuterol can last for 3-6 hours when nebulized, while epi can last about 30 minutes.;Respiratory
What is our starting PEEP for Asthma and CPAP?;Starting peep at 5;Respiratory
Can we use a nebulizer in CPAP?;Yes;Respiratory
What causes COPD?;Irritation/Inammation due to chronic exposure to irritants (smoking #1);Respiratory
How is alveoli affected by COPD?;Alveoli face irreversible destruction of Alveolar walls and capillary beds, leading to a loss of surface area for gas exchange, and a loss of elastic recoil.;Respiratory
Someone presenting with purse lip breathing, pink skin, and diminished lung sounds might be suffering from?;Emphysema;Respiratory
How are bronchioles affected by COPD?;Chronic inflammation leads to a remodeling of the Bronchioles, causing fibrosis, Smooth muscle hypertrophy, and goblet cell hypertrophy;Respiratory
A patient presenting with a productive cough, cyanotic appearance, and edema in legs might be suffering from?;Chronic Bronchitis;Respiratory
How do we treat COPD?;02, CPAP splinting, Bronchodilation, Anticholinergic, position of comfort.;Respiratory
CPAP _____ Intrathoracic Pressure?;Increases;Respiratory
How can a patient benefit from PEEP?;PEEP increases surface area for gas exchange, leaving the lungs partially inflated and re expanding atelectasis.;Respiratory
What are contraindications of CPAP?;Hypoperfusion, Pneumothorax, Facial trauma, AMS/LOC, Respiratory arrest;Respiratory
A patient presenting with Vomiting, hypotension, and severe SOB/Wheezing might be suffering from?;Anaphylaxis;Respiratory
What is anaphylaxis?;A life threatening allergic reaction affecting 2 or more body systems.;Respiratory
What are our 3 main Inflammatory Mediators?;Histamine, Leukotrienes, Cytokines;Respiratory
How can we treat anaphylaxis?;Epinephrine, Benadryl, Albuterol.;Respiratory
What are acute causes of CHF?;Myocardial Ischemia, Myocarditis;Respiratory
What are chronic causes of CHF?;Hypertension, Valvular Disease;Respiratory
If we have left sided heart failure, where will our blood back up?;The left atrium, and then eventually the pulmonary system;Respiratory
If we have right sided heart failure, where will our blood back up?;Right Atrium, Vena Cava, and eventually our venous system;Respiratory
What 3 things can most commonly exacerbate CHF?;Diet Changes 48% Non Compliance with medication 28% New prescription 15%;Respiratory
What is the effect of Increasing Sodium levels?;An increase in circulating volume;Respiratory
What is an effect of increased circulating volume?;Increased Preload;Respiratory
How does CHF and RAAS relate?;"The kidney will release renin to improve SVR, increasing circulating volume, backing fluid into the pulmonary system, and causing pulmonary hypertension; fluid shifts into the alveoli";Respiratory
What is treatment for CHF?;Nitroglycerin, CPAP;Respiratory
What is NTG mechanism of action?;NTG is converted into nitric oxide. Nitric oxide acts as a potent vasodilator.;Respiratory
How is angiotensin II different from NTG?;Angiotensin II causes vasoconstriction by decreasing Nitric Oxide production;Respiratory
A patient presenting with Fever, Isolated Rhonchi, and SOB may be suffering from?;Pneumonia;Respiratory
A tripoding child presenting with fever, drooling, and a hoarse voice may be suffering from?;Epiglottitis;Respiratory
How can we help treat Epiglottitis?;Blow by O2 with Saline Nebulizer, early ALS, calming the patient.;Respiratory
A patient presenting with Stridor on inspiration, and a seal like bark may be suffering from?;Croup;Respiratory
How can we treat croup?;Nebulized Saline or Epi, O2, calming the patient;Respiratory
Why is RSV life threatening for Infants?;Causes Apnea and Lethargy;Respiratory
What is virchows triad?;Venous Stasis. Endothelial Injury. Hypercoagulability.;Respiratory
What are signs of Hyperventilation?;Numbness around lips, carpopedal spams, dizziness, chest pain.;Respiratory
