Front;Back;Document
What makes up the abdominal cavity?;Everything included between the diaphragm to the pelvis;Abdominal/Reproductive
What lines the abdominal cavity?;the parietal peritoneum;Abdominal/Reproductive
What major organs of concern are in the left upper quadrent?;Spleen, Stomach, kidney;Abdominal/Reproductive
What major organs of concern are in the right upper quadrent?;Liver, gallbladder, pancreas, kidney;Abdominal/Reproductive
What major organs of concern are in the right lower quadrent?;Appendix, ovary/fallopian tube;Abdominal/Reproductive
What major organs of concern are in the left lower quadrent?;Descending colon, left ovary/fallopian tube;Abdominal/Reproductive
Visceral pain?;Less severe, more generalized dull/aching;Abdominal/Reproductive
Parietal pain?;more severe, sharp, constant localized pain arising from the peritoneum.;Abdominal/Reproductive
What is referred pain?;Visceral pain that is felt somewhere other than the affected system;Abdominal/Reproductive
What are signs of peritonitis?;Positive markle test/heel jar, fever/chills, loss of appetite;Abdominal/Reproductive
Appendicitis rupture is more common among ages?;4 and under;Abdominal/Reproductive
What are signs of appendicitis?;Pain radiating from the umbilicus to the RLQ, positive markle sign;Abdominal/Reproductive
What are signs of pancreatitis?;Sharp and severe epigastric pain, Pain in love handles/naval (Grey Turner and Cullens);Abdominal/Reproductive
What are signs of cholecystitis?;RUQ pain/tenderness, belching, heartburn, intolerance to food.;Abdominal/Reproductive
What do the four F's refer to?;Cholecystitis;Abdominal/Reproductive
Where is Gastroenteritis commonly found?;In close communities, like nursing homes, day cares, schools, fire stations;Abdominal/Reproductive
What are signs of gastroenteritis?;Dehydration from N/V and diarrhea, ABD pain, and fever;Abdominal/Reproductive
What are some causes of GI bleeding?;Ulcers, esophageal varices, diverticulosis.;Abdominal/Reproductive
What are signs of upper GI bleeding?;Hematemesis or Melana. Bright red bleeding;Abdominal/Reproductive
What are signs of lower GI Bleeding?;Hematochezia. Bright red bleeding;Abdominal/Reproductive
What is our blood resource most commonly used for?;GI Bleeds;Abdominal/Reproductive
What are high risk factors for esophageal varices?;Alcohol Abuse and Liver Disease;Abdominal/Reproductive
What are some signs of Esophageal Varices?;Large amounts of bright red hematemesis, shock signs, rapid pulse;Abdominal/Reproductive
What are some signs of ulcers?;Sudden onset of pain with a burning/gnawing sensation;Abdominal/Reproductive
What are hernias associated with?;Increased pressure in the abdominal cavity;Abdominal/Reproductive
What are signs of AAA?;Gradual onset of lumbar, groin, and abdominal pain, and then a severe sudden onset of pain in the lower back, flank, or pelvic. Often described as tearing;Abdominal/Reproductive
What are findings unique to AAA?;Absent or decreased pulses below the pelvis, pale cool clammy cyanotic skin in the legs. Pulsating mass;Abdominal/Reproductive
Abdominal pain lasting more than ____ hours is an emergency?;6;Abdominal/Reproductive
What are findings unique to sickle cell?;"Ulcers on legs, pale skin, blood feels like its ""stabbing"" the patient, priapism, sudden blindness in one eye";Abdominal/Reproductive
Abdominal pain in women of childbearing age should be treated as ______ until proven otherwise?;ectopic pregnancy;Abdominal/Reproductive
What are signs of ovarian cysts?;Tenderness and severe pain, pain during intercourse or bowel movements.;Abdominal/Reproductive
What is the most common cause of endometritis?;retained products of conception after miscarriage or abortion;Abdominal/Reproductive
What are signs of endometritis?;Pain/tenderness, fever, abdominal distention, bleeding/discharge, discomfort during bowel movements;Abdominal/Reproductive
What are findings unique to PID?;Abnormal discharge color/odor, pain during intercourse, irregular bleeding/cramping;Abdominal/Reproductive
What are signs of Endometriosis?;Dysmenorrhea, bleeding, pain during intercourse/bowel movements;Abdominal/Reproductive
What patient populations are at risk for UTI's?;Elderly women, diabetics, immobilized patients, patients with catheters.;Abdominal/Reproductive
What are S/S of a uti?;Blood in urine, cloudy urine with strong odor, pain/burning during intercourse, frequent need to urinate, fever;Abdominal/Reproductive
Who is at risk for kidney stones?;Men ages 20-50, and patients with a history of dehydration and family history of kidney stones;Abdominal/Reproductive
What are S/S of kidney stones?;Severe pain, groin/flank pain, pain with urination, urge to urinate, fever/chills;Abdominal/Reproductive
Acute renal failure occurs over a period of?;days, may be reversible;Abdominal/Reproductive
Chronic kidney failure occurs over?;years, requires dialysis or transplant;Abdominal/Reproductive
What are leading causes of kidney failure?;Diabetes/Hypertension;Abdominal/Reproductive
What are the 2 types of dialysis?;Hemodialysis, Peritoneal Dialysis;Abdominal/Reproductive
What are important questions to ask for a patient on dialysis?;Ask for the patients dry weight, dialysis schedule, and how much fluid was taken off;Abdominal/Reproductive
What is the most common type of catheter?;Foley catheter;Abdominal/Reproductive
What are some general guidelines for managing a patient with a catheter?;Draining the bag before transport, keeping the bag lower than the patient to allow for drainage. Note and document any unusual findings;Abdominal/Reproductive
