Front;Back;Document
Systole is described as:;Ventricle contraction, the pulmonic and aortic valve are open.;Cardiac
Diastole is described as:;The heart relaxing/refilling. The tricuspid and bicuspid valve are open;Cardiac
Heart tissue gets fed during..:;diastole;Cardiac
body tissue gets fed during..:;systole;Cardiac
Coronary Sinus:;an open space in the aorta for blood to flow. Attaches to coronary arteries that feed the heart;Cardiac
What is the SA node?:;The primary pacemaker of the hearts ECS. beats at 60-100 bpm;Cardiac
What is the AV node?:;"The ""bouncer"" for ventricles. Beats at 40-60 bpm";Cardiac
What is the bundle of his?:;The beginning of ventricular ECS. beats at 20-40 bpm.;Cardiac
What do the bundle branches beat at?:;20-40 bpm;Cardiac
What do the purkinje fibers beat at?:;20-40bpm;Cardiac
what ventricle has an abundance of perkinje fibers?:;Left ventricle;Cardiac
What is depolarization?:;electrical discharge triggering muscle contraction and pumping blood;Cardiac
What is repolarization?:;Relaxation/recharging of the heart;Cardiac
What is a p wave on an EKG?:;The SA node firing off;Cardiac
What is the space between the p wave and the QRS complex?:;The av node;Cardiac
What is the qrs complex?:;represents depolarization and contraction (bundle of his, bundle branches, perkinje fibers);Cardiac
Frank sterlings law:;stroke volume of the heart increases in response to an increase in the volume of blood filling the heart (cardiac output, stretch, and squish);Cardiac
What are the 2 shockable rythms?:;Vfib, pulseless Vtach;Cardiac
What is our bodies high pressure system?:;Left side of the heart, aorta, arteries;Cardiac
What is our low pressure system?:;Right side of the heart, vena cava, veins;Cardiac
Returning from the superior vena cava, where does our blood flow?:;Through the right atrium, tricuspid valve, right ventricle, and pulmonic valve;Cardiac
Coming from the pulmonary artery, where does our blood flow?:;Left atrium, bicuspid valve, left ventricle, aortic valve, aorta.;Cardiac
