Front;Back;Document
What is shock defined as?;Inadequate tissue perfusion;ATCEMS SHOCK
aerobic produces energy in the prescense of;oxygen;ATCEMS SHOCK
anaerobic metabolism produces energy without Oxygen, leading to the buildup of lactic acid.;;ATCEMS SHOCK
When the body is in a shock state and is operating under an anaerobic metabolism, what condition is likely to develop due to lactic acid buildup?;Metabolic Acidosis.;ATCEMS SHOCK
What is the primary control center for the brain?;Medulla Oblongata;ATCEMS SHOCK
What are the nerve cells that keep our cardiovascular and respitory systems managed.;Chemoreceptors;ATCEMS SHOCK
Baroreceptors;Stretch receptors that balance the blood pressure;ATCEMS SHOCK
How long does it take for your sympathetic system to respond to shock?;Seconds;ATCEMS SHOCK
In compensatory shock, how long does your hormonal response take?;Several minutes;ATCEMS SHOCK
When can the body feel the peak effect of RAAS?;Up to three hours;ATCEMS SHOCK
effects of sympathetic nervous system (Fight of Flight);Epi/NorEpi release, an increase in HR/contractions, Vasoconstriction, Bronchodilation, Pupil dilation;ATCEMS SHOCK
what hormone will your pituitary gland release during compensated shock?;Antidiaretic hormone, containing water and increasing circulating volume;ATCEMS SHOCK
What does your renal perfusion sensor do during compensated shock?;Monitors glomerular filtration rate, and releases renin to increase GFR;ATCEMS SHOCK
Angiotensin I is a non vasoactive hormone that turns into;ACE Angiotensin Converting Enzyme;ATCEMS SHOCK
What is angiotensin II responsible for?;Increased BP and fluid volume by retaining sodium and water, and enabling vasoconstriction.;ATCEMS SHOCK
What are some signs of decompensated shock?;Noticeable change in mentation/AMS, Hypotension, Acidosis.;ATCEMS SHOCK
What are the four main types of shock?;Hypovolemic, Distributive, Cardiogenic, Obstructive;ATCEMS SHOCK
Hypovolemic shock is a result of a loss of...;Circulating volume;ATCEMS SHOCK
What are some common causes of NON hemorrhagic hypovolemic shock?;Burns, Dehydration, Loss of plasma;ATCEMS SHOCK
What are some common causes of hemorrhagic hypovolemic shock?;Blood loss, loss of clotting factors, decreased capacity to carry oxygen;ATCEMS SHOCK
What can lead to coagulopathy in shock?;Hypothermia, Acidosis, Liver failure, Hypokalemia, Hypocalcemia;ATCEMS SHOCK
What four factors make up the trauma diamond?;Hypocalcemia, Hypothermia, Acidosis, Coagulopathy;ATCEMS SHOCK
How can we manage/treat hypovolemic shock?;Stopping bleeding, positioning, airway security, oxygenation/ventilation, warming, ALS, early blood resource;ATCEMS SHOCK
When the left ventricle loses about 40% of its normal output, this is considered...;Cardiogenic shock.;ATCEMS SHOCK
What categorizes distributive shock?;A loss of systemic vascular resistance, vasodilation, and increased vascular permeability.;ATCEMS SHOCK
Anaphylaxis falls under what category of shock?;Distributive;ATCEMS SHOCK
What hormone acts as your main vasodilator, causing GI upset and bronchoconstriction, and vascular permeability?;Histamine;ATCEMS SHOCK
Why is benadryl recommended for patients in anaphylactic shock?;It will bind histamine receptors;ATCEMS SHOCK
Septic shock is defined as...;A systemic infection resulting in widespread inflammatory mediator release;ATCEMS SHOCK
What are some S/S of septic shock?;Obvious/known sign of infection, High temperature, High HR, low SBP, AMS, low RR;ATCEMS SHOCK
What is the number 1 cause of sepsis in nursing homes?;UTI;ATCEMS SHOCK
What are some hallmarks of neurogenic shock?;Hypotension with no cardiac compensation, flushed/warm skin below the site of injury.;ATCEMS SHOCK
What are some causes of obstructive shock?;PE, Tension pneumothorax, Cardiac Tamponade;ATCEMS SHOCK
What is virchows triad?;A warning sign for DVT's. Venous statis, endothelial Injury, Hypercoagulability.;ATCEMS SHOCK
How do we assess for JVD?;Sitting the patient upright;ATCEMS SHOCK
What key physiological function is lost in neurogenic shock?;Loss of sympathetic functions responsible for maintaining vascular tone;ATCEMS SHOCK
What defines obstructive shock?;Circulatory roadblock that prevents adequate blood flow despite normal heart function;ATCEMS SHOCK
How can age influence shock?;Age affects how well patients compensate for and recover from shock;ATCEMS SHOCK
How do children typically respond to shock?;Children compensate well initially but deteriorate quickly once decompensation begins;ATCEMS SHOCK
