Front;Back;Document
What is the purpose of the MARCH trauma assessment?;To find and treat any immediate life threats;Trauma ATCEMS
What patient fits the criteria for a rapid trauma assessment?;A patient with an obvious life threatening MOI;Trauma ATCEMS
What are two common preventable but treatable trauma injuries?;Obstructive shock from tension pneumothorax, and Exsanguination from an extremity hemorrhage;Trauma ATCEMS
When do we determine if a patient meets critical truama criteria?;As soon as the provider makes contact;Trauma ATCEMS
What is the fourth step in the MARCH Assessment?;Assessment of the patients circulation;Trauma ATCEMS
What does the MARCH assessment stand for?;Massive Hemorrhage, Airway, Respirations, Circulation, Hypothermia;Trauma ATCEMS
You notice your patient is cool, pale, and diaphoretic, breathing rapidly and shallow at 37 RPM. You also notice blood pooling out of the patients right anterior thigh. As a provider, what treatment comes first in the trauma setting?;Finding and treating the hemorrhage.;Trauma ATCEMS
How and when should we request blood if needed?;"Early, and as soon as possible. ""Medic 99, requesting blood unit.""";Trauma ATCEMS
How can we quickly determine a critical trauma patient?;Mentation (AVPU), Skin condition, Respirations.;Trauma ATCEMS
In the back of a crashed minivan you notice two pediatric patients, one patient (M, 7y/o) Appears to have a broken finger, and is screaming loudly. His brother next to him (M, 5y/o) Appears to have a contusion on his forehead, and is staring in front of him silently, not reacting to your Prescence. What patient demands a higher priority?;The silent 5 year old. A healthy child should be noticeably reactive to injury, a silent child with a noticeable injury could be a sign of serious MOI and requires immediate intervention.;Trauma ATCEMS
About how long does it take to lose consciousness from an arterial hemorrhage?;About 30 seconds, with death following just minutes after if left uncontrolled;Trauma ATCEMS
About how much blood can a fractured pelvis lose?;Over 2 liters of blood;Trauma ATCEMS
A patient has an obvious hemorrhage from his right thigh spurting bright red blood, as a responder, how do you treat this per the MARCH assessment?;Pack the wound and hold direct pressure for 3 minutes. Apply two tourniquets two as far up the leg as possible. Note the time, and check for pulses below the tourniquet.;Trauma ATCEMS
After packing a wound and applying a pressure bandage, your partner verbalizes that he is going to unwrap the bandage to check on the state of the wound. Is this advised?;No. By unpacking the bandage you have released direct pressure, allowing for the wound to start bleeding again. Never undo a bandage or tourniquet that has been placed.;Trauma ATCEMS
How often should we evaluate a trauma patients airway?;Every 10 minutes, or after every movement/patient intervention.;Trauma ATCEMS
